Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Somalia,"9,330,000",100,0.01,"9,311,340",99.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
South Sudan,"9,950,000","6,019,750",60.50,"2,464,692",20.00,"49,750",0.50,0,0.00,0,0.00,"3,273,550",32.90,0,0.00,0,0.00
Tanzania,"44,840,000","27,531,760",61.40,"15,783,680",35.20,"627,760",1.40,"44,840",0.10,0,0.00,"807,120",1.80,"30,000",0.07,0,0.00
Uganda,"33,420,000","28,975,140",86.70,"3,843,300",11.50,"167,100",0.50,"100,260",0.30,0,0.00,"300,780",0.90,"33,420",0.10,0,0.00
Zambia,"13,090,000","12,775,840",97.60,"170,000",1.00,"65,450",0.50,"13,090",0.10,0,0.00,"39,270",0.30,"117,810",0.90,0,0.00
Zimbabwe,"12,570,000","10,935,900",87.00,"120,000",1.00,"993,030",7.90,0,0.00,0,0.00,"477,660",3.80,"37,710",0.30,"10,000",0.08
Eastern Africa,"333,970,000","238,006,180",71.27,"73,510,760",22.01,"9,371,310",2.81,"982,040",0.29,"1,700",0.00,"11,288,190",3.38,"760,090",0.23,"11,780",0.00
Algeria,"43,851,044","419,570",1.00,"43,734,560",98.00,"354,700",1.8,0,0.00,0,0.00,"10,000",0.20,0,0.00,"140,000",0.80
Egypt,"81,120,000","9,486,120",11.20,"76,982,880",88.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"1,000",0.10
Libya,"6,360,000","171,720",2.70,"6,143,760",96.60,"12,720",0.20,0,0.00,"19,080",0.30,0,0.00,0,0.00,0,0.00
Morocco,"31,950,000","20,000",0.06,"31,918,050",99.90,0,0.00,0,0.00,0,0.00,0,0.00,"3,200",0.01,"2,200",0.04
Sudan,"33,600,000","1,814,400",5.40,"30,475,200",90.70,"336,000",1.00,0,0.00,0,0.00,"940,800",2.80,0,0.00,0,0.00
Tunisia,"10,480,000","20,960",0.20,"10,427,600",99.50,"20,960",0.20,0,0.00,0,0.00,0,0.00,0,0.00,"1,100",0.10
Northern Africa,"199,510,000","6,236,200",3.13,"191,199,440",95.83,"1,010,260",0.51,0,0.00,"19,080",0.01,"950,800",0.48,0,0.00,0,0.00
Botswana,"2,010,000","1,449,210",72.10,"8,040",0.40,"414,060",20.60,"6,030",0.30,0,0.00,"120,600",6.00,"12,060",0.60,0,0.00
Eswatini,"1,193,560","1,051,526",88.10,"2,400",2.00,"120,190",10.10,"1,190",0.10,0,0.00,"11,900",1.00,"4,760",0.40,0,0.00
Lesotho,"2,170,000","2,105,560",96.70,"3,000",0.10,"67,270",3.10,0,0.00,0,0.00,"2,170",0.10,0,0.00,0,0.00
Namibia,"2,280,000","2,223,000",97.50,"6,840",0.30,"43,320",1.90,0,0.00,0,0.00,"4,560",0.20,0,0.00,0,0.00
South Africa,"50,130,000","40,705,560",81.20,"1,200,000",2.00,"6,136,274",14.90,"753,524",1.70,"100,260",0.20,"200,520",0.40,"150,390",0.30,"50,130",0.10
Southern Africa,"57,780,000","47,526,720",82.25,"1,220,000",1.50,"8,114,210",14.04,"760,000",0.97,"100,260",0.17,"339,750",0.59,"167,210",0.29,"50,130",0.09
Benin,"8,852,780","4,690,500",48.00,"3,141,320",28.00,"442,500",6.00,0,0.00,0,0.00,"1,601,850",18.00,0,0.00,0,0.00
Burkina Faso,"16,470,000","3,705,750",22.50,"12,142,000",62.00,"65,880",0.40,0,0.00,0,0.00,"2,536,380",15.40,0,0.00,0,0.00
Cape Verde,"512,450","445,500",89.10,800,2.00,"45,500",9.10,0,0.00,0,0.00,"7,500",1.50,"1,000",0.20,0,0.00
The Gambia,"1,730,000","77,850",4.50,"1,645,230",95.10,0,0.00,0,0.00,0,0.00,"1,730",0.10,0,0.00,0,0.00
Ghana,"24,390,000","18,268,110",74.90,"5,058,480",17.80,"1,024,380",4.20,0,0.00,0,0.00,"1,195,110",4.90,"48,780",0.20,0,0.00
Guinea,"9,980,000","1,087,820",10.90,"8,423,120",84.40,"179,640",1.80,0,0.00,0,0.00,"269,460",2.70,0,0.00,0,0.00
Guinea-Bissau,"1,520,000","300,000",20.00,"826,800",45.20,"65,360",4.00,0,0.00,0,0.00,"469,680",28.00,0,0.00,0,0.00
Ivory Coast,"19,740,000","8,705,340",44.10,"11,266,000",43.20,"1,579,200",8.00,0,0.00,0,0.00,"2,013,480",10.20,"39,480",0.20,0,0.00
Liberia,"3,990,000","3,427,410",85.90,"962,000",20.00,"55,860",1.40,0,0.00,0,0.00,"19,950",0.50,"3,990",0.10,0,0.00
Mali,"19,329,841","491,840",3.20,"17,508,400",95.00,"414,990",0.60,0,0.00,0,0.00,"245,920",1.20,0,0.00,0,0.00
Mauritania,"4,594,525","3,000",0.10,"4,591,525",99.90,0,0,0,0.00,0,0.00,0,0,0,0.00,0,0.00
Niger,"15,510,000","124,080",0.80,"15,261,840",98.40,"108,570",0.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Nigeria,"158,420,000","80,000,000",38.23,"99,200,000",61.34,"633,680",0.04,0,0.00,"10,000",0.01,"2,217,880",1.00,"90,000",0.06,0,0.00
Senegal,"17,745,000","887,250",5.00,"16,325,400",92.00,"35,490",0.20,0,0.00,0,0.00,"496,860",2.80,0,0.00,0,0.00
Sierra Leone,"5,870,000","1,226,830",21.00,"4,578,600",78.00,"5,870",0.10,0,0.00,0,0.00,"46,960",1.00,0,0.00,0,0.00
Saint Helena,"4,000","3,860",99.90,140,0.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Togo,"6,030,000","2,635,110",43.70,"1,562,000",20.00,"373,860",6.20,0,0.00,0,0.00,"2,146,680",35.60,"36,180",0.60,0,0.00
Western Africa,"304,264,000","123,748,360",40.67,"162,347,970",53.36,"5,034,372",1.64,0,0.00,"10,000",0.00,"12,789,880",4.20,"219,438",0.07,0,0.00
Anguilla,"20,000","18,120",90.60%,60,0.30%,800,4.00%,80,0.40%,0,0.00%,580,2.90%,320,1.60%,20,0.10%
Antigua and Barbuda,"90,000","83,700",93.00%,540,0.60%,"1,530",1.70%,180,0.20%,0,0.00%,"3,240",3.60%,900,1.00%,0,0.00%
Aruba,"110,670","101,090",91.90%,220,0.20%,"6,600",6.00%,0,0.00%,110,0.10%,"1,430",1.30%,110,0.10%,440,0.40%
Bahamas,"340,550","326,400",96.00%,340,0.10%,"10,540",3.10%,0,0.00%,0,0.00%,"1,020",0.30%,"1,020",0.30%,0,0.00%
Barbados,"270,000","257,040",95.20%,"2,700",1.00%,"5,130",1.90%,"1,080",0.40%,0,0.00%,0,0.00%,"3,780",1.40%,0,0.00%
Cayman Islands,"60,000","50,100",83.50%,240,0.40%,"5,640",9.40%,540,0.90%,0,0.00%,"2,700",4.50%,360,0.60%,480,0.80%
Cuba,"11,260,000","6,665,920",59.20%,0,0.00%,"2,589,800",23.00%,"22,520",0.20%,0,0.00%,"1,959,240",17.40%,0,0.00%,0,0.00%
Dominica,"70,000","66,080",94.40%,70,0.10%,350,0.50%,0,0.00%,70,0.10%,"2,100",3.00%,"1,190",1.70%,0,0.00%
Dominican Republic,"9,930,000","8,738,400",88.00%,0,0.00%,"1,082,370",10.90%,0,0.00%,0,0.00%,"89,370",0.90%,"9,930",0.10%,0,0.00%
Grenada,"100,000","96,600",96.60%,300,0.30%,"1,000",1.00%,700,0.70%,0,0.00%,"1,300",1.30%,200,0.20%,0,0.00%
Guadeloupe,"460,000","441,140",95.90%,"1,840",0.40%,"11,500",2.50%,"2,300",0.50%,0,0.00%,"1,840",0.40%,"1,840",0.40%,0,0.00%
Haiti,"9,990,000","8,681,310",86.90%,0,0.00%,"1,058,940",10.60%,0,0.00%,0,0.00%,"219,780",2.20%,"29,970",0.30%,0,0.00%
Jamaica,"2,740,000","2,115,280",77.20%,0,0.00%,"471,280",17.20%,0,0.00%,0,0.00%,"123,300",4.50%,"27,400",1.00%,0,0.00%
Martinique,"410,000","395,650",96.50%,820,0.20%,"9,430",2.30%,820,0.20%,0,0.00%,820,0.20%,"2,460",0.60%,0,0.00%
Montserrat,"5,000","4,675",93.50%,0,0.00%,240,4.80%,5,0.10%,0,0.00%,10,0.20%,75,1.50%,0,0.00%
Netherlands Antilles,"200,000","187,800",93.90%,400,0.20%,"6,600",3.30%,400,0.20%,"1,000",0.50%,"2,400",1.20%,600,0.30%,600,0.30%
Puerto Rico,"3,750,000","3,626,250",96.70%,0,0.00%,"71,250",1.90%,0,0.00%,"11,250",0.30%,"30,000",0.80%,"3,750",0.10%,0,0.00%
Saint Kitts and Nevis,"50,000","47,300",94.60%,150,0.30%,800,1.60%,750,1.50%,0,0.00%,650,1.30%,400,0.80%,0,0.00%
Saint Lucia,"170,000","154,870",91.10%,170,0.10%,"10,200",6.00%,510,0.30%,0,0.00%,850,0.50%,"3,400",2.00%,0,0.00%
