Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Albania,"3,200,000","576,000",18.00%,"2,569,600",80.30%,"44,800",1.40%,0,0.00%,0,0.00%,0,0.00%,"6,400",0.20%,0,0.00%
Bosnia and Herzegovina,"3,824,782","1,755,574",45.9%,"1,939,164",50.70%,"94,000",2.50%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Bulgaria,"7,490,353","6,149,290",82.10%,"1,026,130",13.70%,"314,580",4.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Greece,"11,360,000","10,008,160",88.10%,"602,080",5.30%,"692,960",6.10%,"11,360",0.10%,0,0.00%,"11,360",0.10%,0,0.00%,0,0.00%
Kosovo,"2,080,000","237,120",11.40%,"1,809,600",87.00%,"33,280",1.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Moldova,"3,570,000","3,477,180",97.40%,"21,420",0.60%,"49,980",1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"21,420",0.60%
Montenegro,"630,000","492,030",78.10%,"117,810",18.70%,"20,160",3.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
North Macedonia,"2,060,000","1,221,580",59.30%,"809,580",39.30%,"28,840",1.40%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Serbia,"7,770,000","7,187,250",92.50%,"326,340",4.20%,"256,410",3.30%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,"63,410,000","52,697,640",83.11%,"9,046,550",14.27%,"1,556,500",2.45%,11 360,0.02%,0,0.00%,"11,360",0.02%,"6,400",0.01%,"21,420",0.03%
