Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Belgium,"10,710,530","6,875,820",64.25%,"631,890",5.90%,"3,105,900",29.00%,0,0.00%,"21,420",0.20%,"21,420",0.20%,0,0.00%,"32,130",0.30%
France,"62,790,000","50,557,700",63.00%,"4,709,250",7.50%,"17,581,200",28.00%,"30,000",0.05%,"313,950",0.50%,"188,370",0.30%,"125,580",0.20%,"313,950",0.50%
Ireland,"4,470,000","4,112,400",92.00%,"49,170",1.10%,"277,140",6.20%,"8,940",0.20%,"8,940",0.20%,"8,940",0.20%,0,0.00%,0,0.00%
Isle of Man,"80,000","67,280",84.10%,160,0.20%,"12,320",15.40%,160,0.20%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Luxembourg,"510,000","359,040",70.40%,"11,730",2.30%,"136,680",26.80%,0,0.00%,0,0.00%,0,0.00%,"1,530",0.30%,510,0.10%
Monaco,"40,000","34,400",86.00%,160,0.40%,"4,680",11.70%,0,0.00%,0,0.00%,0,0.00%,80,0.20%,680,1.70%
Netherlands,"16,610,000","8,404,660",50.60%,"996,600",6.00%,"6,992,810",42.10%,"85,905",0.50%,"34,362",0.20%,"34,362",0.20%,"34,362",0.20%,"34,362",0.20%
United Kingdom,"62,040,000","44,110,440",71.10%,"2,729,760",4.40%,"13,214,520",21.30%,"806,520",1.30%,"248,160",0.40%,"186,120",0.30%,"496,320",0.80%,"310,200",0.50%
Total,"157,467,340","103,649,540",65.85%,"9,128,720",5.80%,"41,346,550",26.27%,"928,670",0.59%,"625,690",0.40%,"438,070",0.28%,"667,180",0.42%,"690,690",0.44%
Europe,"742,520,800","558,221,460",75.18%,"43,459,510",5.85%,"134,783,940",18.15%,"1,250,000",0.17%,"1,347,330",0.18%,"929,660",0.13%,"876,180",0.12%,"1,457,920",0.20%
