Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Afghanistan,"31,415,280","31,410",0.10,"31,315,770",99.70,0,0.00,"60,000",0.09,0,0.00,0,0.00,"20,000",0.06,0,0.00
Bangladesh,"165,870,000","297,380",0.20,"147,624,300",89,"80,000",0.05,"16,752,870",10.10,"743,450",0.50,"594,760",0.40,"30,000",0.02,0,0.00
Bhutan,"730,440",0,0,0,0,0,0.00,"170,980",25.00,"545,310",74.70,"13,870",1.90,0,0.00,0,0.00
India,"1,354,610,000","27,615,250",2.20,"204,546,110",15.1,"1,870,000",0.16,"1,076,914,950",79.5,"9,996,880",0.80,"6,123,050",0.50,"28,166,030",2.30,"10,000",0.00
Maldives,"320,000","1,280",0.40,"314,880",98.40,0,0.00,"9,600",0.80,"1,920",0.60,0,0.00,0,0.00,0,0.00
Nepal,"30,860,000","149,800",0.50,"1,419,560",4.60,"89,880",0.30,"26,138,420",84.70,"3,085,880",10.30,"1,108,520",3.70,"20,000",0.07,0,0.00
Pakistan,"211,100,000","2,637,586",1.27,"203,648,170",96.47,"20,000",0.01,"4,444,437",2.14,"20,000",0.01,"30,000",0.02,"20,000",0.01,0,0.00
Sri Lanka,"20,860,000","1,522,780",7.30,"2,044,280",9.80,0,0.00,"2,836,960",13.60,"14,455,980",70.30,0,0.00,0,0.00,0,0.00
Total,"1,720,170,000","32,367,580",2.01,"590,913,070",34.35,"2,059,880",0.13,"1,099,574,000",67.00,"28,649,420",1.71,"7,870,200",0.49,"28,236,030",1.70,"10,000",0.00
