Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Armenia,"3,091,245","3,043,650",98.50,0,0.00,"40,170",1.30,0,0.00,0,0.00,0,0.00,"3,090",0.10,0,0.00
Azerbaijan,"9,191,720","275,700",3.00,"8,905,110",96.90,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Bahrain,"1,260,000","182,700",14.50,"885,780",70.30,"23,940",1.90,"123,480",9.80,"31,500",2.50,0,0.00,"2,520",0.20,"7,560",0.60
Cyprus,"1,100,000","805,200",73.20,"278,300",25.30,"13,200",1.20,0,0.00,"2,200",0.20,0,0.00,0,0.00,0,0.00
Iran,"85,000,000","340,000",0.4,"82,025,000",96.5,"1,275,000",1.5,0,0.00,0,0.00,0,0.00,"1,360,000",1.6,0,0.00
Iraq,"31,670,000","253,360",0.80,"31,353,300",99.00,"31,670",0.10,0,0.00,0,0.00,0,0.00,"20,000",0.06,0,0.00
Israel,"7,420,000","148,400",2.00,"1,380,120",18.60,"230,020",3.10,0,0.00,"22,260",0.30,"14,840",0.20,"7,420",0.10,"5,609,520",75.60
Jordan,"6,190,000","136,180",2.20,"6,016,680",97.20,0,0.00,"6,190",0.10,"24,760",0.40,0,0.00,0,0.00,0,0.00
Kuwait,"2,740,000","391,820",14.30,"2,030,340",74.10,0,0.00,"232,900",8.50,"76,720",2.80,0,0.00,"8,220",0.30,0,0.00
Lebanon,"4,230,000","2,170,090",47.30,"2,592,990",55.30,"12,690",0.30,0,0.00,"8,460",0.20,0,0.00,0,0.00,0,0.00
Oman,"2,780,000","180,700",6.50,"2,388,020",85.90,"5,560",0.20,"152,900",5.50,"22,240",0.80,0,0.00,"27,800",1.00,0,0.00
Palestine,"4,040,000","96,960",2.40,"3,943,040",97.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Qatar,"1,760,000","242,880",14.2,"1,152,800",65.5,"15,840",0.90,"242,880",15.1,"54,560",3.10,0,0.00,"12,320",0.70,0,0.00
Saudi Arabia,"27,450,000","1,207,800",4.40,"25,528,500",93.00,"192,150",0.70,"301,950",1.10,"82,350",0.30,"82,350",0.30,"82,350",0.30,0,0.00
Syria,"20,410,000","1,061,320",5.20,"18,940,480",92.80,"408,200",2.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
Turkey,"72,750,000","291,000",0.40,"71,295,000",98.00,"873,000",1.20,0,0.00,"40,000",0.05,"20,000",0.03,"145,500",0.20,"20,000",0.03
United Arab Emirates,"7,510,000","946,260",14,"5,775,190",70,"82,610",1.10,"495,660",10,"150,200",2.00,0,0.00,"60,080",0.80,0,0.00
Yemen,"24,050,000","48,100",0.20,"23,833,550",99.10,"24,050",0.10,"144,300",0.60,0,0.00,0,0.00,0,0.00,0,0.00
Total,"310,787,248","12,759,354",3.87,"290,758,294",92.59,"4,238,495",1.16,"1,562,736",0.28,"514,257",0.10,"172,635",0.10,"712,838",0.30,"5,821,928",2.02
