Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Denmark,"5,550,450","4,634,250",83.50%,"227,550",4.10%,"654,900",11.80%,"22,200",0.40%,"11,100",0.20%,0,0.00%,0,0.00%,0,0.00%
Faroe Islands,"50,000","49,000",98.00%,0,0.00%,850,1.70%,0,0.00%,0,0.00%,0,0.00%,150,0.30%,0,0.00%
Estonia,"1,340,375","534,660",39.90%,"2,680",0.20%,"798,640",59.60%,0,0.00%,0,0.00%,10,0.00%,0,0.00%,1 340,0.10%
Finland,"5,360,000","4,373,760",81.60%,"42,880",0.80%,"943,360",17.60%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Iceland,"320,000","304,000",95.00%,640,0.20%,"11,200",3.50%,960,0.30%,"1,280",0.40%,"1,600",0.50%,640,0.20%,0,0.00%
Latvia,"2,250,000","1,255,500",55.80%,"2,500",0.10%,"985,500",43.80%,0,0.00%,0,0.00%,0,0.00%,"4,500",0.20%,0,0.00%
Lithuania,"3,320,000","2,981,360",89.80%,"5,000",0.10%,"332,000",10.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Norway,"4,880,000","4,133,360",84.70%,"180,560",3.70%,"492,880",10.10%,"24,400",0.50%,"29,280",0.60%,0,0.00%,"9,760",0.20%,0,0.00%
Sweden,"9,380,000","7,303,360",76.20%,"431,480",4.60%,"2,532,600",27.00%,"18,760",0.20%,"37,520",0.40%,"18,760",0.20%,"18,760",0.20%,"9,380",0.10%
Total,"32,450,000","24,569,250",75.71%,"893,290",2.75%,"6,751,930",20.81%,"66,320",0.20%,"79,180",0.24%,"20,370",0.06%,"33,810",0.10%,"9,380",0.03%
