Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Angola,"19,080,000","17,237,400",90.50,"100,000",1.00,"973,080",5.10,0,0.00,0,0.00,"801,360",4.20,0,0.00,0,0.00
Cameroon,"19,600,000","13,778,800",70.30,"7,692,300",30.00,"1,038,800",5.30,0,0.00,0,0.00,"646,800",3.30,"529,270",2.70,0,0.00
Central African Republic,"4,403,540","3,938,000",89.50,"862,000",15.00,"44,000",1.00,0,0.00,0,0.00,"44,000",1.00,0,0.00,0,0.00
Chad,"11,230,000","4,559,380",40.60,"9,200,000",58.00,"280,750",2.50,0,0.00,0,0.00,"157,220",1.40,"11,230",0.10,0,0.00
"Congo, Democratic Republic of the","65,970,000","63,199,260",95.80,"1,249,200",1.90,"1,187,460",1.80,"30,000",0.05,0,0.00,"461,790",0.70,"65,970",0.10,"2,500",0.00003
"Congo, Republic of the","4,040,000","3,470,360",85.90,"108,000",2.00,"363,600",9.00,0,0.00,0,0.00,"113,120",2.80,"44,440",1.10,0,0.00
Equatorial Guinea,"700,000","620,900",88.70,"80,000",10.00,"35,000",5.00,0,0.00,0,0.00,"11,900",1.70,"3,500",0.50,0,0.00
Gabon,"1,510,000","1,155,150",76.50,"169,120",11.20,"84,560",5.60,0,0.00,0,0.00,"90,600",6.00,"10,570",0.70,0,0.00
São Tomé and Príncipe,"170,000","139,740",82.20,"6,000",3.00,"21,420",12.60,0,0.00,0,0.00,"4,930",2.90,"4,080",2.40,0,0.00
Central Africa,"126,700,000","108,128,990",85.34,"11,444,300",9.03,"4,028,670",3.18,"30,000",0.02,0,0.00,"2,331,720",1.84,"668,990",0.53,0,0.00
