Country,Population,Christian,Christian,Muslim,Muslim,Irreligion,Irreligion,Hindu,Hindu,Buddhist,Buddhist,Folk religion,Folk religion,Other religion,Other religion,Jewish,Jewish
Country,Population,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%,Pop.,%
Brunei,"408,540","37,600",9.40,"300,400",75.10,"1,600",0.40,"2,000",0.50,"34,400",8.60,"24,800",6.20,400,0.10,0,0.00
Cambodia,"14,143,680","56,560",0.40,"282,800",2.00,"28,280",0.20,"10,000",0.10,"13,701,660",96.90,"84,840",0.60,0,0.00,0,0.00
Indonesia,"275,361,267","29,008,731",10.53,"231,069,932",83.91,"8,385,396",3.04,"4,677,535",1.69,"2,023,719",0.73,"122,043",0.04,"73,911",0.02,20,0.00
Laos,"6,200,000","93,000",1.50,0,0.00,"55,800",0.90,"1,000",0.01,"4,092,000",66.00,"1,903,400",30.70,"43,400",0.70,0,0.00
Malaysia,"32,730,000","2,669,600",9.20,"18,090,800",63.20,"198,800",0.70,"1,804,000",6.50,"5,026,800",17.70,"653,200",2.30,"56,800",0.20,0,0.00
Myanmar,"47,960,000","3,740,880",7.60,"1,918,400",4.00,"239,800",0.50,"1,015,320",2.10,"38,415,960",80.00,"2,781,680",5.80,"95,920",0.20,0,0.00
Philippines,"105,000,000","89,000,000",85.00,"5,127,000",5.50,"105,000",0.1,"15,000",0.01,"1,758,000",1.50,"1,398,900",1.50,"93,260",0.10,"28,473",0.03
Singapore,"5,090,000","926,380",18.20,"727,870",14.30,"834,760",16.40,"304,680",6.00,"1,725,510",33.90,"117,070",2.30,"493,730",9.70,0,0.00
Thailand,"69,120,000","622,080",0.90,"3,801,600",5.50,"207,360",0.30,"100,120",0.20,"64,419,840",93.20,"60,000",0.09,0,0.00,0,0.00
Timor-Leste,"1,120,000","1,115,520",99.60,"1,120",0.10,0,0.00,0,0.00,0,0.00,"1,120",0.10,0,0.00,0,0.00
Vietnam,"94,700,000","7,765,400",8.20,"175,700",0.20,"28,031,200",29.60,"201,200",0.21,"15,530,800",16.40,"42,899,100",45.30,"351,400",0.40,0,0.00
Total,"593,410,000","116,571,210",21.33,"245,594,630",40.08,"31,903,260",4.70,"9,332,110",1.40,"143,582,660",24.20,"47,540,670",8.01,"1,374,780",0.23,"28,437",0.00
